"PROBEID","SYMBOL"
"1555270_a_at","WFS1"
"200934_at","DEK"
"201381_x_at","CACYBP"
"201388_at","PSMD3"
"201710_at","MYBL2"
"202954_at","UBE2C"
"202991_at","STARD3"
"203380_x_at","SRSF5"
"203418_at","CCNA2"
"203967_at","CDC6"
"203968_s_at","CDC6"
"204092_s_at","AURKA"
"204126_s_at","CDC45"
"205225_at","ESR1"
"206364_at","KIF14"
"210085_s_at","ANXA9"
"210761_s_at","GRB7"
"210930_s_at","ERBB2"
"213611_at","AQP5"
"214700_x_at","RIF1"
"214858_at","GPC1-AS1"
"218211_s_at","MLPH"
"218319_at","PELI1"
"218447_at","CMC2"
"218976_at","DNAJC12"
"219455_at","CFAP69"
"219555_s_at","CENPN"
"219867_at","CHODL"
"220054_at","IL23A"
"220651_s_at","MCM10"
"221677_s_at","DONSON"
"221811_at","PGAP3"
"223259_at","ORMDL3"
"223523_at","TMEM108"
"223700_at","MND1"
"224447_s_at","MIEN1"
"224753_at","CDCA5"
"225421_at","PM20D2"
"225687_at","FAM83D"
"228362_s_at","CALHM6"
"232282_at","WNK3"
"232322_x_at","STARD10"
"234354_x_at","ERBB2"
"235046_at","INPP4B"
"235956_at","CEP126"
"55616_at","PGAP3"
