variable,exp(coef),exp(coef) lower 95%,exp(coef) upper 95%,p
IL23A,0.9114671945745992,0.8425251241682121,0.9860506505439528,0.02088700746265922
AQP5,1.0708926451184468,1.009822430976982,1.1356561531904852,0.022240831952069953
CDCA5,1.1385554147952535,1.0165792666529918,1.2751670972275349,0.02480842638078627
FAM83D,1.0957747596663987,0.9917611229917309,1.2106971084930955,0.07227456866390654
WFS1,0.9328343493017249,0.8602821905204501,1.0115052163415523,0.09236573029562166
SRSF5,1.0608893377973907,0.9901047781722364,1.1367344263602766,0.0934055722764259
CALHM6,0.9317676803011984,0.8529388369787526,1.0178819071355096,0.11711972411171555
CFAP69,0.9430948533440892,0.8724385917887121,1.0194733598161503,0.14032942380480773
CDC6,0.952558412624332,0.8894907235954237,1.0200977991020563,0.16433603443429287
DNAJC12,0.9545072911932555,0.883553586958588,1.0311589273009072,0.23744058460127965
GRB7,1.0664462805362735,0.9540222822581249,1.1921185599331072,0.2576977446588954
MND1,0.9536911020481933,0.8778585358620923,1.036074357051966,0.26201652825797755
CMC2,0.9553280367824885,0.8708497426468034,1.0480012947914874,0.3333209150286256
MYBL2,0.9732578744903023,0.9161153856428652,1.0339646130849347,0.3799235472117639
PM20D2,0.9699926787441082,0.8962422352145176,1.0498119368275112,0.4501730542977269
CACYBP,0.9739461614335931,0.9035086314224731,1.049875001058719,0.49067151727658886
DONSON,0.9733041266910359,0.8973380358495987,1.055701291138158,0.5140048261925273
PSMD3,1.0295570211582445,0.9414141223225875,1.1259525799348693,0.5235495196519986
INPP4B,1.0215057283248312,0.9517164000924859,1.0964127054015684,0.5556482256411146
ESR1,0.9696619122057428,0.8747254997413106,1.0749020398520033,0.5578603902543289
STARD10,0.9788064986497339,0.9016357959678022,1.0625822156612386,0.609180684236792
MCM10,0.9727879191847616,0.8750833296776671,1.0814013975793475,0.6094436322449552
MLPH,0.9741908215500729,0.86921103199505,1.0918496450903428,0.6530916452775472
KIF14,1.0206695061323745,0.9331686235129506,1.116375127173409,0.6545954800941405
CENPN,0.9775209799216728,0.8846708727023722,1.080116115124432,0.6552484845593514
ERBB2,0.9753959939578599,0.8726376114724688,1.0902548005278794,0.6609528637869088
MIEN1,1.022527150165378,0.922977077963974,1.1328144520465984,0.6699080348888615
RIF1,0.9833401729356004,0.9091015625955985,1.063641220622513,0.6748723689679167
UBE2C,1.024343620739213,0.91202187603485,1.1504985581168512,0.6848252797564823
ANXA9,1.0154897811467214,0.9391312219760313,1.0980568758470424,0.6999454388838577
PELI1,1.0145933993388954,0.9396627252632106,1.0954992023267798,0.7112987464308861
STARD3,0.981174172465714,0.8858216429907547,1.086790737538828,0.715592346236994
AURKA,1.0193546031865217,0.9192191472938351,1.130398349617276,0.7163336644061942
DEK,0.9863184912672617,0.9054246033882987,1.0744397297966108,0.7523697906681243
CDC45,0.9847311211700863,0.8897832214739155,1.0898108186335613,0.7661335706768694
CHODL,1.007905298981342,0.9449171149828404,1.075092275932706,0.8109858523820138
CEP126,0.9927539902892777,0.9308970947914724,1.058721195661327,0.8246594821702047
TMEM108,0.9935047611253656,0.9344341918336415,1.0563094961688813,0.8349481499077539
CCNA2,1.011758470970738,0.9033198654933462,1.133214537490525,0.8398387080141327
WNK3,0.9963554635853492,0.9386317311160605,1.0576290752881305,0.9045561044988122
ORMDL3,1.0050300681743012,0.9147736164535958,1.104191703571809,0.9167641695644357
PGAP3,1.002521629878633,0.9015816151314722,1.114762769677763,0.9629015518897437
